"Hemisphere","Tract","corVal"
"cor","L","CST",0.904734062167488
"cor1","L","CING",0.968530178081361
"cor2","L","UNC",0.884381431249242
"cor3","R","CST",0.911084719833956
"cor4","R","CING",0.977016552266593
"cor5","R","UNC",0.948785815689017
"Hemisphere","Tract","corVal"
"cor","L","CST",0.880499015312299
"cor1","L","CING",0.951964324512006
"cor2","L","UNC",0.800751356488044
"cor3","R","CST",0.673743055024212
"cor4","R","CING",0.969544173590961
"cor5","R","UNC",0.860476461359396
"Hemisphere","Tract","corVal"
"cor","L","CST",0.951223598816746
"cor1","L","CING",0.984366988511297
"cor2","L","UNC",0.947793620343378
"cor3","R","CST",0.954875744060878
"cor4","R","CING",0.947528983047338
"cor5","R","UNC",0.931522746265247
"Hemisphere","Tract","corVal"
"cor","L","CST",0.885828831574754
"cor1","L","CING",0.961829524052238
"cor2","L","UNC",0.745472220483508
"cor3","R","CST",0.870068734465903
"cor4","R","CING",0.91456978623094
"cor5","R","UNC",0.818164823459653
